"","cod_regsaud","regiao_saude","rr_1","rr_2","rr_3","matriculas","retencao_geral","equip","pib","pop","pibpc_rs","ceo"
"1",11001,"Vale do Jamari",4.76,31.98,3.44,0,0.596973533002945,43.8214285714286,7283510.797,284003,25645.8938708394,1
"2",11002,"Café",3.12,193.42,8.71,358.5,0.819622086637121,227.196428571429,5743863.393,173643,33078.5772706069,1
"3",11003,"Central",4.43,115.68,6.62,243.833333333333,0.836530244673627,174.517857142857,10517778.161,341326,30814.4652355812,0
"4",11004,"Madeira-Mamoré",9.25,144.21,20.47,649.166666666667,0.805371117133357,507.464285714286,22722024.328,666953,34068.4041124337,4.16666666666667
"5",11005,"Zona da Mata",6.3,100.39,3.53,143,0.799053405100232,29.3571428571429,4032188.37,135345,29791.9270752521,1
"6",11006,"Cone Sul",5.84,152.77,6.28,72,0.812952930983857,159.535714285714,6733030.257,161819,41608.4035681842,1
"7",11007,"Vale do Guaporé",7.38,53.24,3.7,0,0.613466042154567,16.4642857142857,1137700.42,52189,21799.6209929295,0
"8",12001,"Alto Acre",13.23,0.01,0.01,0,0.551575630252101,14.0392156862745,1919074.528,73617,26068.3609492373,0
"9",12002,"Baixo Acre e Purus",12.13,48.83,13.96,726,0.665680394900027,303.071428571429,15175557.925,593149,25584.7315345723,1.33333333333333
"10",12003,"Juruá e Tarauacá/Envira",10.29,6.84,2.91,0,0.576733101457366,47.1428571428571,4279807.556,240110,17824.3619840906,0
"11",13001,"Manaus, Entorno e Alto Rio Negro",6.98,40.51,11.19,3354.83333333333,0.699117155728389,917.196428571429,108544737.539,2663871,40746.9947077017,1
"12",13002,"Rio Negro e Solimões",5.21,2.92,0.01,0,0.487581536110948,37.4642857142857,6420281.889,306626,20938.4784362709,0
"13",13003,"Rio Madeira",5.63,2.92,1.6,0,0.445302358997212,34.3928571428571,2498809.462,206110,12123.6692154675,1
"14",13004,"Médio Amazonas",5.67,4.27,2.34,0,0.446128758304364,15.0188679245283,3252939.249,177430,18333.6484754551,0
"15",13005,"Baixo Amazonas",5.88,6.71,4.18,0,0.579645097979076,28.2678571428571,2757117.762,257267,10716.9507243447,1
"16",13006,"Regional Purus",6.57,10.5,9.7,0,0.606286943509166,23.5535714285714,1731795.409,135116,12817.1009280914,0
"17",13007,"Regional Juruá",5.46,0.01,0.01,0,0.457540484207151,19.7678571428571,1683681.677,141730,11879.501001905,0
"18",13008,"Triângulo",6.26,6.14,2.84,0,0.364866047774544,16.0892857142857,1945033.55,125033,15556.1615733446,1
"19",13009,"Alto Solimões",5.11,0.19,0.01,0,0.498879439719653,18.6071428571429,2696641.225,256812,10500.4486745168,0
"20",14001,"Centro Norte",9.4,56.18,21.52,401,0.622867282490881,228.571428571429,16064922.016,558735,28752.3101577671,0
"21",14002,"Sul",13.21,0.01,0.01,0,0.372611671416819,27.8214285714286,2137657.474,93978,22746.3605737513,0
"22",15001,"Araguaia",11.37,34.32,11.39,138.5,0.599160974586177,125.732142857143,14210123.347,583777,24341.6978520908,6
"23",15002,"Baixo Amazonas",5.58,12.17,4.92,420.333333333333,0.65003323001388,117.410714285714,15365963.15,782583,19634.9309274543,4
"24",15003,"Carajás",7.07,59.44,2.77,58,0.7421312844701,400.803571428571,107320987.832,899615,119296.574459074,4.16666666666667
"25",15004,"Lago de Tucuruí",5.94,19.15,7.83,217.25,0.625764472455649,36.2678571428571,9939899.451,477439,20819.2029788099,1
"26",15006,"Metropolitana I",6.87,42.83,16.39,2592.33333333333,0.74671592489932,648.196428571429,47212750.516,2269233,20805.5984184965,0
"27",15007,"Metropolitana II",9.8,4.32,2.58,0,0.417512357042408,36.1607142857143,5602686.377,374535,14959.0462226494,2.66666666666667
"28",15008,"Metropolitana III",9.86,13.98,4.48,0,0.495351808414135,172.303571428571,17400917.298,959387,18137.5370919139,6.33333333333333
"29",15009,"Rio Caetés",15.49,12.5,9.4,0,0.452334495972082,93.7142857142857,6462059.017,550336,11742.0249029684,4
"30",15010,"Tapajós",4.88,7.55,0.01,0,0.603503821281599,32.1071428571429,5652186.248,222500,25403.0842606742,0
"31",15011,"Tocantins",6.75,15.63,4.37,7,0.570590928394892,80.9285714285714,16563037.276,722380,22928.4272488164,1.33333333333333
"32",15012,"Xingu",6.81,10.93,6.21,74.75,0.421002851581496,60.5178571428571,11635906.814,357549,32543.5305762287,2.16666666666667
"33",15013,"Marajó I",6.14,0.01,0.01,0,0.405208333333333,21.9821428571429,2355573.956,249843,9428.21674411531,0
"34",15014,"Marajó II",6.02,3.84,0.01,0,0.469274821039527,21,3182887.834,327947,9705.4945890647,0
"35",16001,"Área Central",16.29,110.64,52.28,774,0.736661375615945,194.428571428571,14618402.704,588584,24836.5614831528,1
"36",16002,"Área Norte",16.69,4.53,1.51,0,0.428812853812854,7.08,1219484.247,72879,16732.9991767176,0
"37",16003,"Área Sudoeste",14.74,26.4,12.81,0,0.596720200211165,20.9642857142857,4261963.566,216150,19717.6200138792,1
"38",17001,"Médio Norte Araguaia",6.52,16.15,8.22,803.666666666667,0.54045160162518,119.589285714286,8788939.891,309111,28432.9573874757,0
"39",17002,"Bico do Papagaio",9.69,1.39,0.31,0,0.455564519456342,66.8035714285714,3347877.871,212951,15721.3531328803,0
"40",17003,"Sudeste",10.06,2.99,2.99,0,0.477873535777948,29.0357142857143,2272340.872,99516,22833.9249165963,0
"41",17004,"Cerrado Tocantins Araguaia",8.64,7.86,2.51,0,0.570743521184698,79.3214285714286,5275289.631,164491,32070.3845863907,1.66666666666667
"42",17005,"Ilha do Bananal",8.74,22.97,4.02,249.833333333333,0.552251782618865,83.5714285714286,8744271.841,186210,46959.1957521078,1
"43",17006,"Capim Dourado",20.71,115.8,23.21,392.666666666667,0.714331245643586,200.946428571429,12632828.629,389493,32434.0325217655,0
"44",17007,"Cantão",6.59,8.2,1.81,0,0.513225193923723,51.2142857142857,4931357.919,132934,37096.2877743843,1
"45",17008,"Amor Perfeito",9.18,23.8,16.31,312.5,0.510384913769429,57.7142857142857,5787857.735,112657,51375.9263516692,0
"46",21001,"Açailândia",10.94,22.74,1.53,42.75,0.567840926434676,64.5,6031352.464,302123,19963.235053273,0
"47",21002,"Bacabal",19.51,17.83,7.57,0,0.423062617362399,60.4107142857143,3027360.514,270276,11200.9964406755,1
"48",21003,"Balsas",13.59,17.22,7.79,80,0.540860143076839,50.1071428571429,12462038.791,229463,54309.5784113343,1
"49",21004,"Barra do Corda",9.6,14.22,8.77,0,0.484259624306975,40.1964285714286,2663031.664,236252,11271.9962751638,0
"50",21005,"Caxias",16.75,22.15,15.2,211.6,0.504591365318009,71.5714285714286,3431545.765,308686,11116.6226035518,2
"51",21006,"Chapadinha",13.53,2.87,1.64,0,0.442191927239928,64.7678571428571,3379878.549,383972,8802.40889700291,1
"52",21007,"Codó",12.91,11.42,5.46,0,0.398488076977433,68.3571428571429,3341759.457,311743,10719.5974151785,0
"53",21008,"Imperatriz",14.06,18.06,7.89,966.166666666667,0.624420702201732,98.5714285714286,12817906.289,546913,23436.8286893894,2
"54",21009,"Itapecuru Mirim",14.44,2.26,1.04,0,0.361754111918987,76.5178571428571,3834380.807,390973,9807.27775831068,0
"55",21010,"Pedreiras",22.59,9.66,7.59,0,0.433643027912876,63.3214285714286,3046181.456,219284,13891.4898305394,2
"56",21011,"Pinheiro",12.14,3.51,1.41,0,0.342828638328516,78.8928571428571,3456440.471,401065,8618.15533891015,1
"57",21012,"Presidente Dutra",20.65,13.04,11.2,0,0.453942326179802,79.2678571428571,6048807.504,292311,20693.0546712235,2.5
"58",21013,"Rosário",16.75,0.01,0.01,0,0.363980697252662,46.1071428571429,2974363.001,306047,9718.6477926593,0
"59",21014,"Santa Inês",16.17,10.26,3.86,112,0.460836148195111,74.1428571428571,4456833.806,397205,11220.4876726124,1
"60",21015,"São João dos Patos",19.07,9.03,8.19,0,0.440793906499721,62.2142857142857,3164084.009,247927,12762.1598656056,1
"61",21016,"São Luís",7.91,81.91,23.63,2548.83333333333,0.786873910150966,550.5,40504715.814,1475254,27456.0962478326,3.16666666666667
"62",21017,"Timon",17.42,11.78,9,2,0.415093205725177,65.5178571428571,2999348.856,252750,11866.8599643917,1
"63",21018,"Viana",12.22,0.15,0.15,0,0.301067202213396,31.1785714285714,2019525.985,275887,7320.12013976737,0
"64",21019,"Zé Doca",19.94,0.49,0.49,0,0.387666463704667,54.2321428571429,5321164.752,305131,17438.9516371657,1
"65",22001,"Carnaubais",22.4,9.31,6.61,0,0.534969574793264,34.2321428571429,1784778.733,163795,10896.4176745322,0
"66",22002,"Chapada das Mangabeiras",23.54,6.08,5.29,0,0.613313825976023,30.1071428571429,5326546.227,198441,26841.9642462999,2
"67",22003,"Cocais",20.12,14.02,11.12,93.25,0.459978432551298,139.142857142857,4288372.01,403230,10635.0519802594,3
"68",22004,"Entre Rios",20.73,18.48,11.34,2343.5,0.672103253659344,302.017857142857,27946087.803,1240581,22526.612774982,5
"69",22005,"Planície Litorânea",12.21,20.95,13.19,254.833333333333,0.615448627910213,54.8571428571429,4382871.301,281840,15550.9200290945,1
"70",22006,"Serra da Capivara",21.57,13.58,11.21,0,0.539784398607928,31.3571428571429,2478883.888,149305,16602.8189812799,1
"71",22007,"Tabuleiros do Alto Parnaíba",23.05,0.01,0.01,0,0.44788961038961,5.35555555555556,5678871.73,48391,117353.882540142,0
"72",22008,"Vale do Canindé",23.63,14.53,10.08,0,0.469742900073782,32.9642857142857,1356341.594,109294,12410.0279429795,2
"73",22009,"Vale do Rio Guaribas",23.72,15.02,7.07,0,0.626148979383662,69.0357142857143,5729706.788,378472,15139.0506774609,2.66666666666667
"74",22010,"Vale do Sambito",24.02,12.42,12.42,0,0.483088500551736,18,1146255.007,106810,10731.719941953,2.33333333333333
"75",22011,"Vale dos Rios Piauí e Itaueiras",24.66,13.64,8.51,133.5,0.518241072209263,40,3909587.736,209131,18694.4438462017,2.33333333333333
"76",23001,"1ª Região Fortaleza",15.41,135.95,13.27,3436.83333333333,0.881208259240498,1849.625,82127012.312,2878668,28529.518621807,3.83333333333333
"77",23002,"2ª Região Caucaia",12.41,33.59,14.85,0,0.501443153090856,145.446428571429,21696448.286,633621,34241.9968498519,1
"78",23003,"3ª Região Maracanaú",16.26,51.35,14.98,0,0.436483911306246,120.660714285714,16398696.976,555464,29522.5198680743,48
"79",23004,"4ª Região Baturité",18.45,23.3,14.94,0,0.337971190771227,60.5714285714286,1566025.121,141411,11074.2807914519,0
"80",23005,"5ª Região Canindé",13.36,14.06,6.05,0,0.378389656652877,31.125,2096511.458,209500,10007.2145966587,0
"81",23006,"6ª Região Itapipoca",10.68,23.91,3.77,56,0.448680566597954,43.8928571428571,4287571.708,305287,14044.3966104027,2
"82",23007,"7ª Região Aracati",13.2,32.6,6.3,0,0.423708297421533,44.625,2513026.946,120255,20897.4840630327,0
"83",23008,"8ª Região Quixadá",18.52,20.43,6.92,361.166666666667,0.48994976894567,127.446428571429,4449324.185,329685,13495.6828032819,3.16666666666667
"84",23009,"9ª Região Russas",16.99,25.7,7.37,0,0.50299768474509,53.375,3327765.735,202691,16417.9254875648,1
"85",23010,"10ª Região Limoeiro do Norte",21.28,35.34,17.3,0,0.554231288478387,105.607142857143,4499676.013,228965,19652.2438494966,3
"86",23011,"11ª Região Sobral",17.41,26.88,7.37,637.666666666667,0.444425786238464,169.803571428571,10470447.206,658512,15900.161585514,3.66666666666667
