regiao_pad,regiao,cod_uf,uf_pad,uf,uf_sigla,cod_macrorregiao,macrorregiao_pad,macrorregiao,cod_regsaud,regiao_saude_pad,regiao_saude,cod_municipio,cod_municipiodv,municipio_pad,municipio,latitude,longitude
REGIAO NORTE,Região Norte,11,RONDONIA,Rondônia,RO,1102,MACRORREGIAO I - PORTO VELHO,Macrorregião I - Porto Velho,11001,VALE DO JAMARI,Vale do Jamari,110045,1100452,BURITIS,Buritis,-10.209810,-63.829680
REGIAO NORTE,Região Norte,11,RONDONIA,Rondônia,RO,1102,MACRORREGIAO I - PORTO VELHO,Macrorregião I - Porto Velho,11003,CENTRAL,Central,110011,1100114,JARU,Jaru,-10.435950,-62.476230
REGIAO NORTE,Região Norte,11,RONDONIA,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),Macrorregional II (Cacoal),11003,CENTRAL,Central,110025,1100254,PRESIDENTE MEDICI,Presidente Médici,-11.173210,-61.909440
REGIAO NORTE,Região Norte,11,RONDONIA,Rondônia,RO,1102,MACRORREGIAO I - PORTO VELHO,Macrorregião I - Porto Velho,11004,MADEIRA-MAMORE,Madeira-Mamoré,110020,1100205,PORTO VELHO,Porto Velho,-08.768890,-63.831450
REGIAO NORTE,Região Norte,11,RONDONIA,Rondônia,RO,1102,MACRORREGIAO I - PORTO VELHO,Macrorregião I - Porto Velho,11004,MADEIRA-MAMORE,Madeira-Mamoré,110080,1100809,CANDEIAS DO JAMARI,Candeias do Jamari,-08.785020,-63.700020
REGIAO NORTE,Região Norte,11,RONDONIA,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),Macrorregional II (Cacoal),11005,ZONA DA MATA,Zona da Mata,110050,1100502,NOVO HORIZONTE DO OESTE,Novo Horizonte do Oeste,-11.709740,-61.994390
REGIAO NORTE,Região Norte,12,ACRE,Acre,AC,1201,MACRO UNICA - AC,Macro única - AC,12001,ALTO ACRE,Alto Acre,120010,1200104,BRASILEIA,Brasiléia,-11.016410,-68.747940
REGIAO NORTE,Região Norte,12,ACRE,Acre,AC,1201,MACRO UNICA - AC,Macro única - AC,12003,JURUA E TARAUACA/ENVIRA,Juruá e Tarauacá/Envira,120060,1200609,TARAUACA,Tarauacá,-08.155670,-70.755500
REGIAO NORTE,Região Norte,13,AMAZONAS,Amazonas,AM,1304,CENTRAL,Central,13001,"MANAUS, ENTORNO E ALTO RIO NEGRO","Manaus, Entorno e Alto Rio Negro",130260,1302603,MANAUS,Manaus,-03.134690,-60.023340
REGIAO NORTE,Região Norte,13,AMAZONAS,Amazonas,AM,1304,CENTRAL,Central,13002,RIO NEGRO E SOLIMOES,Rio Negro e Solimões,130120,1301209,COARI,Coari,-04.084220,-63.142180
