PERIODO,CD_MUNICIPIO,CD_UF,SG_UF,FAIXA_CORRIGIDA,PLANO_ODONTO,POP
2022,120030,12,AC,de 0 a 14 anos,12,8926
2022,120010,12,AC,de 15 a 29 anos,33,6294
2022,120010,12,AC,acima de 60 anos,9,1671
2022,120040,12,AC,de 15 a 29 anos,3775,105371
2022,120045,12,AC,acima de 60 anos,10,1630
2022,270200,27,AL,de 0 a 14 anos,6,2149
2022,270270,27,AL,de 0 a 14 anos,4,929
2022,270430,27,AL,de 0 a 14 anos,24963,160425
2022,270650,27,AL,de 0 a 14 anos,6,3293
2022,270860,27,AL,de 0 a 14 anos,278,10992
2022,270900,27,AL,nada,0,566
2022,270930,27,AL,nada,58,6440
2022,270520,27,AL,de 0 a 14 anos,28,3650
2022,270880,27,AL,de 15 a 29 anos,196,9212
2022,270190,27,AL,de 15 a 29 anos,3,1908
2022,270330,27,AL,de 15 a 29 anos,12,4742
2022,270550,27,AL,de 15 a 29 anos,67,7873
2022,270040,27,AL,de 30 a 59 anos,346,13825
2022,270180,27,AL,de 30 a 59 anos,6,2307
2022,270915,27,AL,de 30 a 59 anos,132,12675
2022,270930,27,AL,de 30 a 59 anos,573,19875
2022,270210,27,AL,de 30 a 59 anos,18,6182
2022,270260,27,AL,de 30 a 59 anos,158,6669
2022,270360,27,AL,de 30 a 59 anos,102,2424
2022,270030,27,AL,acima de 60 anos,716,19978
2022,270580,27,AL,acima de 60 anos,2,754
2022,270080,27,AL,acima de 60 anos,416,592
2022,270260,27,AL,acima de 60 anos,19,2112
2022,270660,27,AL,acima de 60 anos,3,863
2022,270010,27,AL,Inconsistente,0,0
2022,270170,27,AL,Inconsistente,0,0
2022,270460,27,AL,de 0 a 14 anos,7,2219
2022,270642,27,AL,nada,3,1125
2022,270690,27,AL,nada,102,3392
2022,270235,27,AL,de 0 a 14 anos,30,4881
2022,270500,27,AL,de 15 a 29 anos,12,6647
2022,270590,27,AL,de 15 a 29 anos,1,1321
2022,270810,27,AL,de 15 a 29 anos,34,3112
2022,270450,27,AL,de 30 a 59 anos,420,9194
2022,270740,27,AL,de 30 a 59 anos,26,2637
2022,270480,27,AL,acima de 60 anos,14,1565
2022,270500,27,AL,acima de 60 anos,5,2568
2022,270560,27,AL,Inconsistente,0,0
2022,270940,27,AL,Inconsistente,0,0
2022,130068,13,AM,de 0 a 14 anos,1,4237
2022,130014,13,AM,nada,2,1900
2022,130240,13,AM,nada,4,5091
2022,130310,13,AM,nada,2,4059
2022,130120,13,AM,de 0 a 14 anos,56,19233
2022,130190,13,AM,de 0 a 14 anos,183,21061
2022,130280,13,AM,de 15 a 29 anos,2,5418
2022,130406,13,AM,de 15 a 29 anos,42,16077
2022,130260,13,AM,de 15 a 29 anos,132291,559335
2022,130185,13,AM,de 30 a 59 anos,428,12192
2022,130320,13,AM,de 30 a 59 anos,50,4335
2022,130423,13,AM,acima de 60 anos,3,822
2022,130040,13,AM,Inconsistente,0,0
2022,130255,13,AM,de 0 a 14 anos,4,6062
2022,130280,13,AM,de 0 a 14 anos,1,4913
2022,130050,13,AM,de 0 a 14 anos,0,8023
2022,130110,13,AM,nada,6,4127
2022,130320,13,AM,nada,1,1859
2022,130430,13,AM,nada,2,2359
2022,130000,13,AM,de 30 a 59 anos,13,0
2022,130230,13,AM,de 30 a 59 anos,22,3994
2022,130180,13,AM,acima de 60 anos,6,1035
2022,130280,13,AM,Inconsistente,0,0
2022,160010,16,AP,de 30 a 59 anos,1052,2348
2022,160015,16,AP,de 30 a 59 anos,135,3407
2022,160030,16,AP,de 30 a 59 anos,21059,134813
2022,160010,16,AP,acima de 60 anos,140,499
2022,160027,16,AP,acima de 60 anos,34,1794
2022,160023,16,AP,de 0 a 14 anos,20,1544
2022,160050,16,AP,de 0 a 14 anos,17,5320
2022,160020,16,AP,acima de 60 anos,4,474
2022,290310,29,BA,de 0 a 14 anos,6,1076
2022,290860,29,BA,de 0 a 14 anos,34,5220
2022,290970,29,BA,de 0 a 14 anos,13,2396
2022,292303,29,BA,de 0 a 14 anos,12,1819
2022,292935,29,BA,de 0 a 14 anos,6,1069
2022,290450,29,BA,de 0 a 14 anos,2,1853
2022,290500,29,BA,nada,17,1742
2022,291180,29,BA,nada,7,2077
2022,292265,29,BA,nada,38,1258
2022,292650,29,BA,nada,5,1347
2022,292860,29,BA,nada,164,4375
2022,293075,29,BA,nada,0,1398
2022,290100,29,BA,de 0 a 14 anos,57,5667
2022,290130,29,BA,de 0 a 14 anos,11,2871
2022,291165,29,BA,de 0 a 14 anos,1,1451
2022,291700,29,BA,de 0 a 14 anos,58,7149
2022,290195,29,BA,de 15 a 29 anos,112,2123
2022,291450,29,BA,de 15 a 29 anos,377,8057
2022,292830,29,BA,de 15 a 29 anos,71,2259
2022,293315,29,BA,de 15 a 29 anos,16,3472
2022,290115,29,BA,de 15 a 29 anos,24,4223
2022,290130,29,BA,de 15 a 29 anos,35,3979
2022,290550,29,BA,de 15 a 29 anos,34,3547
2022,291020,29,BA,de 15 a 29 anos,11,1032
2022,292320,29,BA,de 15 a 29 anos,14,5725
2022,292780,29,BA,de 15 a 29 anos,15,1875
2022,292820,29,BA,de 15 a 29 anos,28,6429
